latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
-4.92897,119.91009,338.97,0.38,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,313.42,15.91,D
-4.92566,119.90957,330.26,0.38,0.36,2026-09-25,533,N20,VIIRS,l,2.0NRT,305.25,15.91,D
-4.90952,119.81552,330.79,0.39,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,301.75,2.09,D
-4.83506,119.99066,332.29,0.38,0.36,2026-09-25,533,N20,VIIRS,l,2.0NRT,305.99,3.07,D
-4.20281,119.77464,345.05,0.38,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,298.99,13.76,D
-4.06202,119.94203,334.42,0.38,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,303.7,1.45,D
-4.05639,119.7793,336.37,0.38,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,303.2,3.22,D
-3.96461,116.16396,335.62,0.5,0.41,2026-09-25,533,N20,VIIRS,l,2.0NRT,302.81,10.06,D
-3.9092,119.67475,341.22,0.38,0.36,2026-09-25,533,N20,VIIRS,n,2.0NRT,302.52,5.0,D
-3.90256,116.21165,338.76,0.5,0.41,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.36,7.19,D
-3.8995,116.20663,337.7,0.5,0.41,2026-09-25,533,N20,VIIRS,l,2.0NRT,299.8,7.19,D
-3.89815,116.21558,344.4,0.5,0.41,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.55,6.89,D
-3.83382,116.23801,330.24,0.5,0.41,2026-09-25,533,N20,VIIRS,l,2.0NRT,300.21,4.86,D
-3.83316,116.24245,334.58,0.5,0.41,2026-09-25,533,N20,VIIRS,n,2.0NRT,301.13,3.53,D
-3.82395,116.22746,348.23,0.5,0.41,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.71,9.31,D
-3.82023,116.22688,350.77,0.5,0.41,2026-09-25,533,N20,VIIRS,n,2.0NRT,302.23,9.31,D
-3.81361,116.19399,337.0,0.5,0.41,2026-09-25,533,N20,VIIRS,n,2.0NRT,302.04,6.64,D
-3.81205,116.19519,338.86,0.5,0.41,2026-09-25,533,N20,VIIRS,n,2.0NRT,301.07,5.12,D
-3.80289,116.21525,338.35,0.5,0.41,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.2,10.7,D
-3.80224,116.2197,334.92,0.5,0.41,2026-09-25,533,N20,VIIRS,n,2.0NRT,300.15,4.58,D
-3.80186,116.21195,344.37,0.5,0.41,2026-09-25,533,N20,VIIRS,l,2.0NRT,300.78,17.95,D
-3.8011,116.20131,339.75,0.5,0.41,2026-09-25,533,N20,VIIRS,n,2.0NRT,299.47,5.13,D
-3.79949,116.20251,332.06,0.5,0.41,2026-09-25,533,N20,VIIRS,l,2.0NRT,298.16,3.06,D
-3.79915,116.2147,367.0,0.5,0.41,2026-09-25,533,N20,VIIRS,h,2.0NRT,300.89,10.7,D
